qtd_ponto_url,qtd_hifen_url,qtd_underline_url,qtd_barra_url,qtd_interrogacao_url,qtd_igual_url,qtd_arroba_url,qtd_comercial_url,qtd_exclamacao_url,qtd_til_url,qtd_virgula_url,qtd_mais_url,qtd_asterisco_url,qtd_hashtag_url,qtd_cifrao_url,qtd_porcento_url,qtd_tld_url,comprimento_url,qtd_ponto_dominio,qtd_hifen_dominio,qtd_underline_dominio,qtd_arroba_dominio,qtd_vogais_dominio,comprimento_dominio,formato_ip_dominio,server_client_dominio,qtd_ponto_diretorio,qtd_hifen_diretorio,qtd_underline_diretorio,qtd_barra_diretorio,qtd_igual_diretorio,qtd_arroba_diretorio,qtd_comercial_diretorio,qtd_exclamacao_diretorio,qtd_til_diretorio,qtd_virgula_diretorio,qtd_mais_diretorio,qtd_asterisco_diretorio,qtd_cifrao_diretorio,qtd_porcento_diretorio,comprimento_diretorio,qtd_ponto_arquivo,qtd_hifen_arquivo,qtd_underline_arquivo,qtd_igual_arquivo,qtd_arroba_arquivo,qtd_comercial_arquivo,qtd_exclamacao_arquivo,qtd_til_arquivo,qtd_virgula_arquivo,qtd_mais_arquivo,qtd_asterisco_arquivo,qtd_hashtag_arquivo,qtd_cifrao_arquivo,qtd_porcento_arquivo,comprimento_arquivo,qtd_ponto_parametros,qtd_hifen_parametros,qtd_underline_parametros,qtd_barra_parametros,qtd_interrogacao_parametros,qtd_igual_parametros,qtd_arroba_parametros,qtd_comercial_parametros,qtd_exclamacao_parametros,qtd_til_parametros,qtd_virgula_parametros,qtd_mais_parametros,qtd_asterisco_parametros,qtd_hashtag_parametros,qtd_cifrao_parametros,qtd_porcento_parametros,comprimento_parametros,presenca_tld_argumentos,qtd_parametros,email_na_url,extensao_arquivo,dominio_presente_em_rbl,tempo_resposta,possui_spf,localizacao_geografica_ip,tempo_ativacao_dominio,tempo_expiracao_dominio,qtd_ip_resolvido,qtd_nameservers,qtd_servidores_mx,valor_ttl_associado,certificado_tls_ssl,qtd_redirecionamentos,url_indexada_no_google,dominio_indexado_no_google,phishing
11,1,0,2,0,7,0,6,0,0,0,0,0,0,0,10,5,231,2,0,0,0,4,14,False,False,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,1,0,0,0,7,0,6,0,0,0,0,0,0,0,10,200,True,7,False,php,False,5.160465,False,US,7415,984,15,4,5,288,True,1,False,False,False
4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,46,1,0,0,0,7,16,False,False,3,1,0,3,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.957672,1.052249,0.912698,0.168651,0.017196,3.42328,0.01918,2.51455,0.027116,0.001984,0.24537,0.15873,0.021825,0,0.005952,1.718254,95.214947,False,3.289021,False,php,False,7.069125,False,IT,6108,139,1,2,1,868,False,1,False,False,True
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,9,19,False,False,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957672,1.052249,0.912698,0.168651,0.017196,3.42328,0.01918,2.51455,0.027116,0.001984,0.24537,0.15873,0.021825,0,0.005952,1.718254,95.214947,False,3.289021,False,php,False,15.735968,False,CA,94,270,1,2,1,2815,True,0,False,False,True
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26,3,0,0,0,4,16,False,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.957672,1.052249,0.912698,0.168651,0.017196,3.42328,0.01918,2.51455,0.027116,0.001984,0.24537,0.15873,0.021825,0,0.005952,1.718254,95.214947,False,3.289021,False,php,False,5.15024,False,BR,7247,460.306937,1,3,2,3570,False,0,False,False,False
3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,50,2,0,0,0,6,19,False,False,1,0,1,2,0,0,0,0,0,0,0,0,0,0,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0.957672,1.052249,0.912698,0.168651,0.017196,3.42328,0.01918,2.51455,0.027116,0.001984,0.24537,0.15873,0.021825,0,0.005952,1.718254,95.214947,False,3.289021,False,php,False,2.222518,False,BR,2261,295,1,2,1,14328,False,1,False,False,True
5,2,0,6,0,2,0,1,0,0,0,0,0,0,0,0,1,119,4,0,0,0,7,23,False,False,1,2,0,6,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,41,False,2,False,txt,False,0.069474,False,BR,8247,460.306937,1,2,5,1404,False,0,False,False,False
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,1,0,0,5,18,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957672,1.052249,0.912698,0.168651,0.017196,3.42328,0.01918,2.51455,0.027116,0.001984,0.24537,0.15873,0.021825,0,0.005952,1.718254,95.214947,False,3.289021,False,php,False,9.022403,False,US,215,149,1.55755,6,0,7156.150687,False,0.250995,False,False,True
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,0,0,5,12,False,False,1,0,0,2,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.957672,1.052249,0.912698,0.168651,0.017196,3.42328,0.01918,2.51455,0.027116,0.001984,0.24537,0.15873,0.021825,0,0.005952,1.718254,95.214947,False,3.289021,False,php,False,9.022403,False,US,3331.586752,460.306937,1.55755,13,0,7156.150687,False,0.250995,False,False,True
2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,37,2,2,0,0,8,29,False,False,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957672,1.052249,0.912698,0.168651,0.017196,3.42328,0.01918,2.51455,0.027116,0.001984,0.24537,0.15873,0.021825,0,0.005952,1.718254,95.214947,False,3.289021,False,php,False,9.022403,False,US,3331.586752,460.306937,1.55755,13,0,7156.150687,False,0.250995,False,False,True
5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,71,3,0,0,0,5,22,False,False,2,0,1,2,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.957672,1.052249,0.912698,0.168651,0.017196,3.42328,0.01918,2.51455,0.027116,0.001984,0.24537,0.15873,0.021825,0,0.005952,1.718254,95.214947,False,3.289021,False,php,False,5.704988,False,TW,2605,317,1,2,5,10711,True,0,False,True,True
