qtd_ponto_url,qtd_hifen_url,qtd_underline_url,qtd_barra_url,qtd_interrogacao_url,qtd_igual_url,qtd_arroba_url,qtd_comercial_url,qtd_exclamacao_url,qtd_til_url,qtd_virgula_url,qtd_mais_url,qtd_asterisco_url,qtd_hashtag_url,qtd_cifrao_url,qtd_porcento_url,qtd_tld_url,comprimento_url,qtd_ponto_dominio,qtd_hifen_dominio,qtd_underline_dominio,qtd_arroba_dominio,qtd_vogais_dominio,comprimento_dominio,formato_ip_dominio,server_client_dominio,qtd_ponto_diretorio,qtd_hifen_diretorio,qtd_underline_diretorio,qtd_barra_diretorio,qtd_igual_diretorio,qtd_arroba_diretorio,qtd_comercial_diretorio,qtd_exclamacao_diretorio,qtd_til_diretorio,qtd_virgula_diretorio,qtd_mais_diretorio,qtd_asterisco_diretorio,qtd_cifrao_diretorio,qtd_porcento_diretorio,comprimento_diretorio,qtd_ponto_arquivo,qtd_hifen_arquivo,qtd_underline_arquivo,qtd_igual_arquivo,qtd_arroba_arquivo,qtd_comercial_arquivo,qtd_exclamacao_arquivo,qtd_til_arquivo,qtd_virgula_arquivo,qtd_mais_arquivo,qtd_asterisco_arquivo,qtd_hashtag_arquivo,qtd_cifrao_arquivo,qtd_porcento_arquivo,comprimento_arquivo,qtd_ponto_parametros,qtd_hifen_parametros,qtd_underline_parametros,qtd_barra_parametros,qtd_interrogacao_parametros,qtd_igual_parametros,qtd_arroba_parametros,qtd_comercial_parametros,qtd_exclamacao_parametros,qtd_til_parametros,qtd_virgula_parametros,qtd_mais_parametros,qtd_asterisco_parametros,qtd_hashtag_parametros,qtd_cifrao_parametros,qtd_porcento_parametros,comprimento_parametros,presenca_tld_argumentos,qtd_parametros,email_na_url,extensao_arquivo,dominio_presente_em_rbl,tempo_resposta,possui_spf,localizacao_geografica_ip,tempo_ativacao_dominio,tempo_expiracao_dominio,qtd_ip_resolvido,qtd_nameservers,qtd_servidores_mx,valor_ttl_associado,certificado_tls_ssl,qtd_redirecionamentos,url_indexada_no_google,dominio_indexado_no_google,phishing
3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,71,2,0,0,0,6,16,False,False,1,0,0,5,0,0,0,0,0,9,0,0,0,0,55,1,0,0,0,0,0,0,0,9,0,0,0,0,0,22,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,htm,False,1.755204,False,BE,4090.257726,555.959321,1,3,0,3591,False,3,False,False,True
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,0,0,0,9,23,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,13.48267,False,US,4090.257726,555.959321,1,2,1,875,False,0.699718,False,False,False
8,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,127,2,0,0,0,5,20,False,False,6,0,0,3,0,0,0,0,0,0,0,0,0,0,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,1,0,0,0,0,9,0,0,0,0,0,43,False,1,False,php,False,1.44382,False,US,2775,146,1,2,1,287,True,0,False,False,True
1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,0,0,0,2,9,False,False,0,1,2,5,0,0,0,0,0,9,0,0,0,0,58,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,6.067636,False,US,277,87,2,2,1,278,True,2,False,False,True
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,39,2,0,0,0,5,12,False,False,1,0,0,2,0,0,0,0,0,9,0,0,0,0,27,1,0,0,0,0,0,0,0,9,0,0,0,0,0,18,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,2.126267,False,AU,4090.257726,555.959321,1,2,1,14385,False,1,False,False,True
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27,2,0,0,0,5,17,False,False,0,0,0,1,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,5.029667,False,US,4090.257726,555.959321,2,8,5,891,True,0,False,False,True
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,0,0,0,7,18,False,False,0,0,0,1,0,0,0,0,0,9,0,0,0,0,16,0,0,0,0,0,0,0,0,9,0,0,0,0,0,15,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,1.145365,True,US,2077,113,1,2,1,14390,False,1,False,False,True
2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,69,1,0,0,0,4,14,False,False,1,0,0,4,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,False,1,False,htm,False,0.538956,True,US,8582,2008,1,3,2,589914,False,1,False,False,False
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,69,1,0,0,0,10,23,False,False,0,0,0,2,0,0,0,0,0,9,0,0,0,0,46,0,0,0,0,0,0,0,0,9,0,0,0,0,0,41,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,6.029481,True,IN,846,249,1,2,3,589,False,0,False,False,True
1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1,0,0,0,3,11,False,False,0,2,0,2,0,0,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,0.598545,False,US,8031,1304,1,4,5,29,True,1,False,False,False
